PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
128,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Kyuquot, Site 1, BC",29-May-09,terete morph, A88655,,lower mid tidepool,,,,,,
129,Bossiella schmittii,,Bossiella schmittii,,,,,,,,,,,Coralline,"Kyoquot, Thornton Island, BC",29-May-09,, A88656,,subtidal,,,,,,
130,Bossiella plumosa,,Bossiella frondifera,,,,,,,,,,,Coralline,"Prasiola Pt, Bamfield, BC",25-Jun-09,"tall, resembles B. gardner, spindly", A88657,,mid intertidal,,,,,,
131,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,,,Coralline,"Prasiola Pt, Bamfield, BC",25-Jun-09,, A88658,,lower mid intertidal tidepool,,,,,,
132,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,,,Coralline,"Prasiola Pt, Bamfield, BC",25-Jun-09,turfy densley branched, A88659,,lower mid intertidal near Hedophyllum,,,,,,
133,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,,,Coralline,"Prasiola Pt, Bamfield, BC",25-Jun-09,reporductive,A88660,,lower mid intertidal,,,,,,
134,Bossiella frondescens,,Corallina frondescens,,,,,,,,,,,Coralline,"Prasiola Pt, Bamfield, BC",25-Jun-09,teret apices frequently finer than  PTM 132,A88661,,lower mid intertidal,,,,,,
136,,did not attempt because we have enough C. tuberculosum sequences,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,"260mm long, huge Horley ?cokoated?",A88662,,exposed bench and in tidepool,,,,,,
137,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,,A88663,,exposed bench and in tidepool,,,,,,
138,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,,A88664,,exposed bench and in tidepool,,,,,,
139,,did not attempt because we have enough C. officinalis sequences,Corallina officinalis,,,,,,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,,A88665,,exposed bench and in tidepool,,,,,,
140,Johansenia macmillanii,,Serraticardia macmillanii,,,,,,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,,A88666,,exposed bench and in tidepool,,,,,,
141,Neopolyporolithon reclinatum,,Mesophyllum reclinatum,,yes,5/7/2013,14i14,X (July 2014) CJ,,,,,,Coralline,"Sombrio Point, Vancouver Island",09-Feb-09,,A88667,,"epiphytic on Corallina, exposed bench and in tidepool",,,,,,
142,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,5/7/2013,,,,,,,,Coralline,"Brady's Beach, Bamfield, Vancouver Island",12-Jun-10,,A88668,,"tidepool, near Brady's Blowhole, on mid to high intertidal",,,,,,
143,"Corallina ""californiensis""",need name from Paul,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Brady's Beach, Bamfield, Vancouver Island",12-Jun-10,"faned apices (drawing in book), shorter segments",A88669,,"tidepool, sandy",,,,,,
144,"Corallina ""californiensis""",need name from Paul,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Brady's Beach, Bamfield, Vancouver Island",12-Jun-10,,A88670,,tidepool near sandy beach,,,,,,
145,Bossiella frondescens,,Corallina frondescens,,,,,,,,,,,Coralline,"Brady's Beach, Bamfield, Vancouver Island",12-Jun-10,,A88671,,"tidepool, near Brady's Blowhole, on mid to high intertidal",,,,,,
146,"Corallina ""californiensis""",need name from Paul,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield, Vancouver Island",12-Jun-10,,A88672,,high hot tidepool,,,,,,
147,Bossiella frondescens,HIGHLY REPRODUCTIVE - NEED TO IMAGE,Corallina frondescens,,,,,,,,,,,Coralline,"Brady's Beach, Bamfield, Vancouver Island",12-Jun-10,,A88673,,tidepool,,,,,,
148,,did not attempt because we have enough C. tuberculosum sequences,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Seppings Island, Bamfield, Vancouver Island",15-Jun-10,,A88674,,"Epilithic, exposed intertidal habitat",,,,,,
149,Bossiella manzae,#NAME?,Bossiella sp.,,yes,5/7/2013,14i14,,,,,yes rbcL 3' end,,Coralline,"Seppings Island, Bamfield, Vancouver Island",15-Jun-10,,A88675,,"Mid intertidal, lies flat on rocks with a diameter of approx 0.6 m",,,,,,
150,Bossiella frondescens,,Corallina frondescens,,,,,,,,,,,Coralline,"Brady's Blowhole, Bamfield, Vancouver Island",12-Jun-10,,A88676,,"Mid-High intertidal tidepool, tidepool large and fringed with dense coralline algae",,,,,,
151,Bossiella californica,,Bossiella sp.,,,,,,,,,,,Coralline,"Seppings Island, Bamfield, Vancouver Island",15-Jun-10,,A88677,,On rocks in mid-intertidal,,,,,,
152,Bossiella sp. 5chiloensis,,Bossiella sp.,,,,,,,,,,,Coralline,"Botanical Beach, Vancouver Island",15-Jun-10,,A88678,,Tidepools in mid-intertidal,,,,,,
153,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,yes,5/7/2013,,,,,,,,Coralline,"400 m south of Limekiln, Friday Harbor Labs",2009 Sept 13,,A88679,,Mid intertidal,,,,,,
154,Bossiella plumosa,re-extracted - originially determined as manzae - but when re-extracted found B. 7plum,Bossiella frondifera,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",09-Jul-10,potentially re-extract,A88680,,Lower exposed mid-intertidal,,,,,,
155,Bossiella frondescens,,"Bossiella ""not-frondifera""",,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",09-Jul-10,,A88681,,Lower exposed mid-intertidal,,,,,,
156,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",09-Jul-10,,A88682,,Lower exposed mid-intertidal,,,,,,
157,,did not attempt because we have enough Johansenia sequences,Serraticardia macmillanii,,yes,5/7/2013,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",09-Jul-10,,A88683,,Lower exposed mid-intertidal,,,,,,
158,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88684,,"Hanging like pendent off vertical wall,",,,,,,
159,Bossiella reptans,#NAME?,Bossiella frondifera ?,,yes,5/7/2013,14i14,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88685,,2 m below Postelsia,,,,,,
160,Bossiella plumosa,rbcL 1387 - strange position on psba tree,Bossiella frondifera ?,,yes,5/7/2013,14i14,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88686,,2 m below Postelsia,,,,,,
161,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88687,,Upper mid intertidal on bare rock,,,,,,
162,Neopolyporolithon reclinatum,,Mesophyllum lamellatum,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88688,,"On Bossiella frondifera, in tidepool, low-mid intertidal",,,,,,
163,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88689,,"Under Saccharina sessile, in Jenn Jorve's plots, low intertidal",,,,,,
164,Bossiella frondifera,,Bossiella frondifera,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88690,,"Under Saccharina sessile, in Jenn Jorve's plots, low intertidal",,,,,,
165,Bossiella plumosa,,Bossiella frondifera,,yes,5/7/2013,14i14,X (July 2014) CJ,,X (July 2014) CJ,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,found with barnacles and mussels,A88691,,"Shallow exposed tidepool, upper mid with mussels and barnacles",,,,,,
166,Bossiella manzae,rbcL 3' end,Corallina frondescens,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,lone bunch with ptilota and microcladia borealis,A88692,,Under Saccharina sessile in low-mid intertidal,,,,,,
167,Bossiella manzae,rbcL 3' end,Corallina frondescens,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88693,,Under Hedophyllum and Egregia in lower mid intertidal,,,,,,
168,Corallina officinalis var. chilensis ,,Corallina officinalis,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88694,,"Lower mid intertidal, under rock overhang",,,,,,
169,Bossiella frondescens,,Corallina frondescens,,yes,5/10/2013,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88695,,in very high tide pool,,,,,,
170,Chiharaea silvae,,Chiharaea sp.,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88696,,"Under Phyllospadix and Lessoniopsis, low intertidal",,,,,,
171,,did not attempt because we have enough C. silvaesequences,Chiharaea silvae,,yes,5/10/2013,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88697,,"On mussel, low intertidal with Lessoniopsis and urchin holes",,,,,,
172,Chiharaea silvae,,Chiharaea sprouts?,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88698,,"On rock, dense patch, low intertidal with Lessoniopsis",,,,,,
173,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88699,,"Lower mid intertidal, exposed spot",,,,,,
174,Corallina officinalis var. chilensis,,Corallina officinalis,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",10-Jul-10,,A88700,,"Tidepool in mid intertidal, just above Hedophyllum",,,,,,
175,,psbA failed,Mesophyllum vancouveriense,,yes; re-extracted 27xi13,5/10/2013,14i14,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",10-Jul-10,,A88701,,Engulfing C. vancouveriensis in high intertidal tidepool with Phyllospadix,,,,,,
176,Bossiella plumosa,,Bossiella frondifera,,yes,5/10/2013,,,,,,PG sequenced,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,Voucher for Fisher and Martone 2013,A88702,,"Low intertidal, near Postelsia and under Hedophyllum",,,,,,
177,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,Voucher for Fisher and Martone 2013,A88703,,"Low intertidal, near Postelsia and under Hedophyllum",,,,,,
178,Bossiella plumosa,,Bossiella frondifera,,yes,5/10/2013,,,,,,PG sequenced,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,Voucher for Fisher and Martone 2013,A88704,,Upper mid intertidal,,,,,,
179,Corallina vancouveriensis,,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,Voucher for Fisher and Martone 2013,A88705,,Upper mid intertidal,,,,,,
180,Bossiella frondifera,Bossiella frondifera,Bossiella frondifera,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88706,,"low intertidal, 2 m below Postelsia",,,,,,
181,Bossiella frondifera,Bossiella frondifera,Bossiella frondifera,,,,,,,,,,,Coralline,"Site 1, Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88707,,"low intertidal, 2 m below Postelsia",,,,,,
182,Corallina sp. 1frondescens ,,Corallina officinalis,,yes,5/10/2013,14i14,X (July 2014) CJ,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",10-Jul-10,,A88708,,"mid intertidal tidepool, very exposed",,,,,,
183,Chiharaea silvae,,Chiharaea sp.,,,,,,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",10-Jul-10,,A88709,,"mid intertidal tidepool, very exposed",,,,,,
187,,psbA failed,Unidentified coralline crust,,yes; re-extracted 20viv13,9/20/2013,27viv13 (used 20viv13 DNA; fail X2) ,,,,,,,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88712,,"lower mid intertidal, under Hedophyllum plots",,,,,,
188,Pseudolithophyllum sp.19muricatum,,Unidentified coralline crust,,,,,,,,,X (CJ),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88713,,"low intertidal, below Postelsia",,,,,,
189,Pseudolithophyllum sp.19muricatum,,Unidentified coralline crust,,,,,X (CJ),,,,X (CJ),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88714,,"low intertidal, below Postelsia",,,,,,
190,Pseudolithophyllum sp.19muricatum,,Unidentified coralline crust,,,,,,,,,X (CJ),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88715,,"low intertidal, below Postelsia",,,,,,
191,,psbA failed,Unidentified coralline crust,,yes; re-extracted 20viv13,9/20/2013,27viv13 (used 20viv13 DNA; fail X2) ,,,,,,,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88716,,"low intertidal, below Postelsia",,,,,,
192,Pseudolithophyllum sp.19muricatum,,Unidentified coralline crust,,,,,,,,,X (CJ),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88717,,"low intertidal, below Postelsia",,,,,,
193,,gave up since not amplifying,Unidentified coralline crust Leptophytum?,,yes; re-extracted 20viv13,9/20/2013,27viv13 (used 20viv13 DNA; fail X2) ,,,,,,,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88718,,"low intertidal, below Postelsia",,,,,,
194,Pseudolithophyllum sp. 2whidbeyense,sequenced by Paul,Unidentified coralline crust,,,,,,,,,X (PWG),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88719,,"low intertidal, below Postelsia",,,,,,
195,Pseudolithophyllum sp.19muricatum,,Unidentified coralline crust,,,,,,,,,X (CJ),,,"Botanical Beach, Port Renfrew, Vancouver Island",11-Jul-10,,A88720,,"low intertidal, below Postelsia",,,,,,
196,,gave up since not amplifying,Bossiella californica,,yes; re-extracted 20viv13,9/20/2013,27viv13 (used 20viv13 DNA; fail X2) ,,,,,,,Coralline,"Carmel Bay, CA",16-Nov-09,,A89447,,"Subtidal, on rock",,,,,,
197,Bossiella sp. 5chiloensis ,,Bossiella frondifera,,yes; re-extracted 20viv13 ; re-extracted 27xi13,9/20/2013,"27viv13 (used 20viv13 DNA; fail X2) , 14i14 (27xi13 DNA worked!)",X (July 2014) CJ,,,,,,Coralline,"Botanical Beach, Port Renfrew, Vancouver Island",,Not in the LYB,A89446,,"low intertidal, under Alaria and Mazzaella",,,,,,
198,,psbA failed,crust,,yes,6/14/2013,14i14,,,,,,,Coralline,"Hong Kong, Shek O",14-May-10,"splotchy, small, fast growing",A89654,,not noted in LYB,,,,,,
199,no match,"good sequence - no match, NO MATCH ON BLAST",crust,,yes,6/14/2013,14i14,,,,,,,Coralline,"Hong Kong, Shek O",14-May-10,splotchy,A89655,,not noted in LYB,,,,,,
200,,,crust (Paul),,,,,,,,,,,Coralline,"Hong Kong, Shek O",14-May-10,bright pink. Paul has samples - accession when they return,,Y,not noted in LYB,,,,,,
201,,,crust (Paul),,,,,,,,,,,Coralline,"Hong Kong, Shek O",14-May-10,"on barnacle, large, pink, smooth. Paul has samples - accession when they return",,Y,not noted in LYB,,,,,,
202,Amphiroa sp. (no match),,Amphiroa sp.,,yes,6/14/2013,,,,,,,,Coralline,"Hong Kong, Cape D'Aguilar",14-May-10,,A89257,,not noted in LYB,,,,,,
203,Corallina caespitosa,,Corallina sp.,,yes,6/14/2013,,,,,,,,Coralline,"Hong Kong, Cape D'Aguilar",14-May-10,possible Haliptilon,A89258,,not noted in LYB,,,,,,
204,Corallina caespitosa,,Corallina sp.,,yes,6/14/2013,,,,,,,,Coralline,"Hong Kong, Cape D'Aguilar",14-May-10,foliose morph with terete tips,A89259,,not noted in LYB,,,,,,
205,Corallina caespitosa,,Corallina sp.,,yes,6/14/2013,,,,,,,,Coralline,"Hong Kong, Cape D'Aguilar",18-May-10,quarter-sized turf outside tide pool,A89260,,not noted in LYB,,,,,,
206,Spongites tumidum,messy reverse psbA - needs forward,Pseudolithophyllum neofarlowii,,yes; re-extracted 20viv13,9/20/2013,"27viv13 (used 20viv13 DNA; fail X2) , 14i14 worked !!",,,,,,,Coralline,"Hakai, West beach boulders",10-Jun-11,"Only at UBC, under Fucus on large cobbles",A89261,,"upper mid intertidal, under Fucus",,,,,,
208,Bossiella dichotoma,,Bossiella dichotoma,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",10-Jun-11,only at UBC,A89560,,"upper mid intertidal tidepool, base of cliff surrounded by sand",,,,,,
209,Corallina sp. 1frondescens,01.4x07CocN,No name,,yes,7/13/2012,,,,,,x (Martone Lab),,,"Hakai, West beach boulders",10-Jun-11,,A89561,,"upper mid intertidal tidepool, base of cliff surrounded by sand",,,,,,
210,Bossiella frondifera,,Bossiella frondifera,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",10-Jun-11,,A89562,,"upper mid intertidal tidepool, base of cliff surrounded by sand",,,,,,
211,Bossiella californica,,Bossiella californica,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",10-Jun-11,only at UBC,A89563,,"upper mid intertidal tidepool, base of cliff surrounded by sand",,,,,,
212,Corallina vancouveriensis,rbcL clusters with Calliarthron,C. vancouveriensis,,yes,,,,,,,,,Coralline,"Hakai, West beach boulders",10-Jun-11,,A89564,,"upper mid intertidal, just outside tidepool, base of cliff surrounded by sand",,,,,,
213,Corallina sp.1 california,Cor.off.3iii08CocS,Corallina californiensis,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach",10-Jun-11,,A89565,,Cast ashore,,,,,,
214,,,Lithophyllum phymatodeum,,,,,,,,,,,Coralline,"Hakai, West beach boulders",11-Jun-11,,A89566,,"mid intertidal, on small cobble",,,,,,
215,,,Pseudolithophyllum whidbeyense,,yes; re-extracted 20viv13,9/20/2013,27viv13 (used 20viv13 DNA; fail X2) ,,,,,,,Coralline,"FHL, Deadman's Bay",15-Jun-11,,A89262,,"mid intertidal, under hedophyllum",,,,,,
232,,,Melobesia mediocris,,,,,,,,,,,Coralline,,,Not in the LYB,A89583,,not noted in LYB,,,,,,
303,,did not attempt because we have enough C. vancouveriensis sequences,Corallina vancouveriensis,,,,,,,,,,,Coralline,"Hakai, North Beach Bench",11-Aug-12,,A89263,,upper mid intertidal,,,,,,
304,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,,,Coralline,"Hakai, North Beach Bench",11-Aug-12,no need to sequence?,A89264,,mid intertidal tidepool,,,,,,
305,Bossiella frondescens,Cor_fro.4viii08Attu,Corallina frondescens,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",11-Aug-12,,A89265,,mid intertidal tidepool,,,,,,
306,Corallina sp. 1frondescens,01.4x07CocN,Corallina sp.,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",11-Aug-12,,A89266,,mid intertidal tidepool,,,,,,
307,Bossiella sp. 2chiloensis,WW8A.6x08Bsp.,B. dichotoma,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",11-Aug-12,,A89267,,mid tidepool,,,,,,
308,,,Pseudolithophylum neofarlowii,,,,,,,,,,,Coralline,"Hakai, North Beach Bench",11-Aug-12,,A89268,,mid intertidal tidepool,,,,,,
309,Corallina arbuscula (most likely a mixed collection),most likely C. arbuscula (messy sequence),Corallina frondescens,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",12-Aug-12,messy sequence,A89660,,mid intertidal,,,,,,
310,Corallina arbuscula,,Corallina vancouveriensis,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",11-Aug-11,,A89661,,mid intertidal,,,,,,
311,Corallina sp. 1frondescens,01.4x07CocN,Corallina sp.,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach boulders",11-Aug-11,,A89662,,mid intertidal,,,,,,
312,,,Mesophyllum vancouveriense,,,,,,,,,,,Coralline,"Hakai, West beach boulders",11-Aug-11,,A89269,,"mid intertidal, on Phyllospadix root",,,,,,
313,Corallina vancouveriensis,,Corallina californiensis,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, West beach, north point",12-Aug-12,,A89448,,upper mid tidepool submerged,,,,,,
314,Corallina arbuscula,#NAME?,C. californiensis,,yes,7/13/2012,14i14,,,,,,,Coralline,"Hakai, West beach boulders",12-Aug-12,,A89665,,"low intertidal, in 14m quadrat",,,,,,
315,,,Calliarthron tuberculosum,,yes- one 50ul elution,3/18/2013,,,,,,,,Coralline,"Hakai, Fifth beach bench",12-Aug-12,no need to sequence?,A89270,,mid intertidal tidepool,,,,,,
316,Bossiella sp. 5chiloensis,"Bos.chi.3xii07KydWA or Borb30viii07TI,WA",Bossiella frondifera,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",13-Aug-12,,A89271,,low intertidal,,,,,,
317,Bossiella frondifera,,Corallina frondescens,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",13-Aug-12,,A89272,,low intertidal,,,,,,
318,Bossiella frondescens,Cor_fro.4viii08Attu,Bossiella frondifera,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",13-Aug-12,,A89669,,mid intertidal,,,,,,
319,Bossiella frondescens,Cor_fro.4viii08Attu,Corallina frondescens,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",13-Aug-12,,A89273,,"low intertidal, under Saccharina sessilis",,,,,,
320,Corallina vancouveriensis,,Corallina vancouveriensis,,yes,7/13/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",13-Aug-12,,A89274,,"low intertidal, under Saccharina sessilis",,,,,,
321,Johansenia macmillanii,,Serraticardia,,yes- one 50ul elution,3/18/2013,,,,,,x (Martone Lab),,Coralline,"Hakai, North Beach Bench",14-Aug-12,no sequence needed,A89275,,"low, tidepool",,,,,,
322,Bossiella dichotoma,,Bossiella dichotoma,,yes,6/20/2012,,,,,,x (Martone Lab),,Coralline,"Hakai, Fifth beach bench",14-Aug-12,"midrib, wide branching",A89276,,"low, tidepool",,,,,,
